EMPRESA;REGIAO;DATACENTER;ZONA;SERVIDOR;CPU;RAM_TOTAL;RAM_USADA;RAM_PERCENT;DISCO_TOTAL;DISCO_USADO;DISCO_PERCENT;LATENCIA;PACOTES_ENVIADOS;PACOTES_RECEBIDOS;PACOTES_PERDIDOS;QTD_PR;PROCESSO1_CPU;PORCENTAGEM_PROCESSO1_CPU;PROCESSO2_CPU;PORCENTAGEM_PROCESSO2_CPU;PROCESSO3_CPU;PORCENTAGEM_PROCESSO3_CPU;PROCESSO1_RAM;PORCENTAGEM_PROCESSO1_RAM;PROCESSO2_RAM;PORCENTAGEM_PROCESSO2_RAM;PROCESSO3_RAM;PORCENTAGEM_PROCESSO3_RAM;QTD_NUCLEOS;USO_USER;USO_SISTEM;BOOTTIME;DATA_HORA;DIA_SEMANA;JOGADORES_ATIVOS
SteamData;Rio de Janeiro;DC-RJ01;ZonaC;SRV-DB-01;53.17;34359738368;12563930188;36.57;536870912000;398610485711;74.25;14.3;139351;196874;19;253;chrome.exe;31.9;python.exe;19.09;discord.exe;2.49;chrome.exe;2356656801;discord.exe;1663882824;python.exe;322236618;16;49.76;16.94;1780155189;2026-05-26 16:53:09;Tuesday;564859
SteamData;Porto Alegre;DC-POA01;ZonaC;SRV-API-01;25.61;34359738368;27258335023;79.33;536870912000;393393839158;73.28;43.69;154283;197928;25;371;chrome.exe;39.03;python.exe;19.87;discord.exe;8.53;chrome.exe;2738060193;discord.exe;1637468391;python.exe;359268171;8;62.39;23.89;1778427189;2026-05-26 16:53:09;Tuesday;726027
SteamData;São Paulo;DC-SP01;ZonaB;SRV-WEB-01;86.66;34359738368;15030010546;43.74;536870912000;269532984280;50.2;97.15;56090;355619;11;286;chrome.exe;14.46;python.exe;11.28;discord.exe;6.0;chrome.exe;3677533511;discord.exe;1497334702;python.exe;652277991;8;44.21;14.01;1779723189;2026-05-26 17:13:09;Tuesday;810811
SteamData;Rio de Janeiro;DC-RJ01;ZonaA;SRV-WEB-01;89.82;34359738368;22557486370;65.65;536870912000;274382667359;51.11;79.77;83563;271754;12;318;chrome.exe;34.11;python.exe;11.46;discord.exe;13.52;chrome.exe;2647372721;discord.exe;826686259;python.exe;357860173;16;24.94;15.4;1778427189;2026-05-26 17:13:09;Tuesday;557213
SteamData;Porto Alegre;DC-POA01;ZonaB;SRV-DB-01;81.5;34359738368;26468467204;77.03;536870912000;392495862873;73.11;118.51;155639;287421;7;167;chrome.exe;38.19;python.exe;22.8;discord.exe;2.71;chrome.exe;2052717288;discord.exe;1814649880;python.exe;433259677;8;21.84;26.41;1778859189;2026-05-26 17:13:09;Tuesday;699285
SteamData;São Paulo;DC-SP01;ZonaA;SRV-API-01;31.43;34359738368;21905092356;63.75;536870912000;204658227258;38.12;100.0;75460;178917;4;163;chrome.exe;18.97;python.exe;5.94;discord.exe;4.04;chrome.exe;2445885231;discord.exe;1395366517;python.exe;435683639;8;61.93;19.87;1779291189;2026-05-26 17:33:09;Tuesday;795023
SteamData;Rio de Janeiro;DC-RJ01;ZonaC;SRV-WEB-01;49.02;34359738368;23310081486;67.84;536870912000;279656632837;52.09;90.45;132128;142314;29;330;chrome.exe;13.34;python.exe;7.78;discord.exe;5.42;chrome.exe;2592116185;discord.exe;1923737241;python.exe;352977047;16;56.56;25.02;1778340789;2026-05-26 17:33:09;Tuesday;596387
SteamData;Porto Alegre;DC-POA01;ZonaB;SRV-API-01;51.48;34359738368;13029129125;37.92;536870912000;219112364883;40.81;115.09;88804;254065;0;360;chrome.exe;35.8;python.exe;22.36;discord.exe;5.47;chrome.exe;3991750758;discord.exe;1238382106;python.exe;948786461;16;12.95;26.97;1778427189;2026-05-26 17:33:09;Tuesday;643558
SteamData;São Paulo;DC-SP01;ZonaB;SRV-API-01;47.27;34359738368;22952692746;66.8;536870912000;260083408569;48.44;60.23;96626;341669;30;192;chrome.exe;24.49;python.exe;10.88;discord.exe;5.97;chrome.exe;2678024350;discord.exe;693662943;python.exe;545172422;32;18.19;25.23;1778081589;2026-05-26 17:53:09;Tuesday;659609
SteamData;Rio de Janeiro;DC-RJ01;ZonaA;SRV-API-01;36.21;34359738368;25604114749;74.52;536870912000;449817089700;83.78;71.55;249235;216383;5;190;chrome.exe;21.84;python.exe;10.08;discord.exe;13.51;chrome.exe;2017190016;discord.exe;1419702829;python.exe;368521301;32;48.03;11.16;1778599989;2026-05-26 17:53:09;Tuesday;729639
SteamData;Porto Alegre;DC-POA01;ZonaA;SRV-WEB-01;62.41;34359738368;12289826046;35.77;536870912000;404307479462;75.31;67.66;144190;126363;27;236;chrome.exe;38.29;python.exe;22.93;discord.exe;13.58;chrome.exe;3353003305;discord.exe;747115104;python.exe;835117680;16;41.34;11.91;1779204789;2026-05-26 17:53:09;Tuesday;811304
SteamData;São Paulo;DC-SP01;ZonaC;SRV-DB-01;72.61;34359738368;27736754688;80.72;536870912000;252826426167;47.09;46.66;111331;192428;2;348;chrome.exe;18.73;python.exe;22.54;discord.exe;8.78;chrome.exe;2135370405;discord.exe;1649999445;python.exe;342472596;16;57.24;24.54;1778167989;2026-05-26 18:13:09;Tuesday;511309
SteamData;Rio de Janeiro;DC-RJ01;ZonaA;SRV-API-01;82.85;34359738368;20295771178;59.07;536870912000;328092768357;61.11;92.39;76073;125151;20;246;chrome.exe;13.7;python.exe;18.7;discord.exe;10.42;chrome.exe;2420105657;discord.exe;1036208487;python.exe;466281572;16;32.29;6.05;1778945589;2026-05-26 18:13:09;Tuesday;522355
SteamData;Porto Alegre;DC-POA01;ZonaB;SRV-WEB-01;84.42;34359738368;17917419675;52.15;536870912000;339612688681;63.26;90.61;125245;391397;14;159;chrome.exe;29.37;python.exe;22.64;discord.exe;2.78;chrome.exe;1903953844;discord.exe;1883684495;python.exe;472640735;8;30.4;10.52;1780241589;2026-05-26 18:13:09;Tuesday;807126
SteamData;São Paulo;DC-SP01;ZonaB;SRV-API-01;31.6;34359738368;22694208731;66.05;536870912000;286731749575;53.41;84.77;298538;126459;0;151;chrome.exe;33.0;python.exe;18.29;discord.exe;12.74;chrome.exe;2366140820;discord.exe;976927357;python.exe;472620600;8;11.67;24.35;1779463989;2026-05-26 18:33:09;Tuesday;662661
SteamData;Rio de Janeiro;DC-RJ01;ZonaB;SRV-DB-01;61.78;34359738368;25233398804;73.44;536870912000;441388312624;82.21;23.57;102567;120427;27;173;chrome.exe;12.47;python.exe;11.49;discord.exe;4.17;chrome.exe;2993371474;discord.exe;1027268935;python.exe;710596382;8;46.03;7.54;1778859189;2026-05-26 18:33:09;Tuesday;824348
SteamData;Porto Alegre;DC-POA01;ZonaC;SRV-API-01;49.6;34359738368;13332906463;38.8;536870912000;213164229804;39.7;38.4;180193;99931;6;359;chrome.exe;15.48;python.exe;18.88;discord.exe;5.57;chrome.exe;2170704341;discord.exe;857175164;python.exe;366475850;16;66.18;16.99;1778081589;2026-05-26 18:33:09;Tuesday;775262
SteamData;São Paulo;DC-SP01;ZonaA;SRV-WEB-01;53.71;34359738368;18408500397;53.58;536870912000;385228878007;71.75;44.06;127577;243754;27;211;chrome.exe;15.02;python.exe;12.58;discord.exe;12.07;chrome.exe;1067376177;discord.exe;602330235;python.exe;962831201;16;38.55;23.43;1780155189;2026-05-26 18:53:09;Tuesday;719891
SteamData;Rio de Janeiro;DC-RJ01;ZonaC;SRV-API-01;94.88;34359738368;15612699335;45.44;536870912000;299555421080;55.8;82.4;217327;267123;1;282;chrome.exe;14.55;python.exe;21.57;discord.exe;10.13;chrome.exe;1549290533;discord.exe;1006112933;python.exe;963193062;32;50.89;25.8;1779031989;2026-05-26 18:53:09;Tuesday;526637
SteamData;Porto Alegre;DC-POA01;ZonaC;SRV-DB-01;35.45;34359738368;16768775804;48.8;536870912000;236553601910;44.06;97.26;134426;350262;12;225;chrome.exe;39.29;python.exe;12.51;discord.exe;14.59;chrome.exe;2429988630;discord.exe;1900650327;python.exe;573773323;32;14.16;28.27;1779204789;2026-05-26 18:53:09;Tuesday;791709
SteamData;São Paulo;DC-SP01;ZonaA;SRV-WEB-01;62.51;34359738368;29059437994;84.57;536870912000;340429169750;63.41;67.43;199310;210211;16;353;chrome.exe;35.48;python.exe;20.16;discord.exe;5.76;chrome.exe;3550529674;discord.exe;856640054;python.exe;999224891;32;66.01;29.41;1778167989;2026-05-26 19:13:09;Tuesday;562630
SteamData;Rio de Janeiro;DC-RJ01;ZonaB;SRV-DB-01;36.49;34359738368;17303485592;50.36;536870912000;295053515891;54.96;51.02;224925;323896;24;166;chrome.exe;36.55;python.exe;15.93;discord.exe;11.14;chrome.exe;2729658644;discord.exe;1828683571;python.exe;892884653;8;50.16;11.68;1779723189;2026-05-26 19:13:09;Tuesday;740825
SteamData;Porto Alegre;DC-POA01;ZonaC;SRV-API-01;47.46;34359738368;12404599395;36.1;536870912000;317780086835;59.19;99.04;215780;81333;6;282;chrome.exe;39.79;python.exe;14.2;discord.exe;6.65;chrome.exe;1394310127;discord.exe;601244761;python.exe;780048668;8;12.98;13.02;1778254389;2026-05-26 19:13:09;Tuesday;835429
SteamData;São Paulo;DC-SP01;ZonaC;SRV-API-01;85.95;34359738368;18372360685;53.47;536870912000;339481905412;63.23;39.55;95907;51658;4;156;chrome.exe;16.71;python.exe;23.95;discord.exe;4.5;chrome.exe;1450856158;discord.exe;539355553;python.exe;991409676;8;69.98;23.35;1778340789;2026-05-26 19:33:09;Tuesday;725758
SteamData;Rio de Janeiro;DC-RJ01;ZonaB;SRV-API-01;68.13;34359738368;27717678314;80.67;536870912000;331645490275;61.77;105.17;83997;357532;13;294;chrome.exe;14.34;python.exe;13.6;discord.exe;12.44;chrome.exe;1496100205;discord.exe;1471958122;python.exe;475968679;8;28.93;13.36;1778513589;2026-05-26 19:33:09;Tuesday;590412
SteamData;Porto Alegre;DC-POA01;ZonaB;SRV-DB-01;76.7;34359738368;18626036164;54.21;536870912000;366979340521;68.36;67.88;284901;163181;6;151;chrome.exe;38.6;python.exe;9.76;discord.exe;11.51;chrome.exe;2077071474;discord.exe;1389687768;python.exe;893937084;16;30.94;6.69;1778167989;2026-05-26 19:33:09;Tuesday;684151
SteamData;São Paulo;DC-SP01;ZonaA;SRV-DB-01;73.97;34359738368;17524144467;51.0;536870912000;358853294810;66.84;14.73;56318;386107;12;254;chrome.exe;20.14;python.exe;23.79;discord.exe;12.63;chrome.exe;2948727026;discord.exe;1704533886;python.exe;709743968;8;61.93;19.72;1778686389;2026-05-26 19:53:09;Tuesday;759710
SteamData;Rio de Janeiro;DC-RJ01;ZonaB;SRV-WEB-01;80.11;34359738368;19028537280;55.38;536870912000;367951461083;68.54;40.08;196336;172165;12;175;chrome.exe;35.56;python.exe;22.06;discord.exe;10.48;chrome.exe;3418580694;discord.exe;1628197943;python.exe;354327629;16;35.4;12.32;1778686389;2026-05-26 19:53:09;Tuesday;593974
SteamData;Porto Alegre;DC-POA01;ZonaC;SRV-WEB-01;25.31;34359738368;19514289063;56.79;536870912000;410111717153;76.39;80.08;296356;236895;16;351;chrome.exe;15.99;python.exe;10.83;discord.exe;4.62;chrome.exe;3187725884;discord.exe;770290191;python.exe;870092198;16;48.04;29.07;1777735989;2026-05-26 19:53:09;Tuesday;691133
SteamData;São Paulo;DC-SP01;ZonaC;SRV-WEB-01;26.68;34359738368;24162785057;70.32;536870912000;412292738161;76.8;63.85;55612;318687;6;250;chrome.exe;29.51;python.exe;21.84;discord.exe;10.15;chrome.exe;3042156384;discord.exe;1695258295;python.exe;666924658;8;16.79;12.97;1778772789;2026-05-26 20:13:09;Tuesday;636599
SteamData;Rio de Janeiro;DC-RJ01;ZonaA;SRV-DB-01;55.37;34359738368;24203645682;70.44;536870912000;307816734100;57.34;107.35;85782;333761;9;384;chrome.exe;26.4;python.exe;16.42;discord.exe;14.34;chrome.exe;3733857073;discord.exe;1589887700;python.exe;843784816;32;52.29;8.15;1780241589;2026-05-26 20:13:09;Tuesday;797210
SteamData;Porto Alegre;DC-POA01;ZonaC;SRV-DB-01;81.27;34359738368;12606728985;36.69;536870912000;274380901382;51.11;56.53;103656;376346;21;166;chrome.exe;24.98;python.exe;20.53;discord.exe;13.79;chrome.exe;2323047080;discord.exe;1377268333;python.exe;947913369;16;15.22;16.44;1778599989;2026-05-26 20:13:09;Tuesday;677201
SteamData;São Paulo;DC-SP01;ZonaA;SRV-API-01;42.18;34359738368;28207968821;82.1;536870912000;413845713262;77.08;117.9;293034;139111;10;334;chrome.exe;17.43;python.exe;17.11;discord.exe;8.66;chrome.exe;3943039178;discord.exe;1820840579;python.exe;778927444;32;66.11;18.53;1779291189;2026-05-26 20:33:09;Tuesday;613746
SteamData;Rio de Janeiro;DC-RJ01;ZonaA;SRV-WEB-01;34.75;34359738368;12463981573;36.27;536870912000;350819414462;65.35;93.6;190355;138915;10;166;chrome.exe;36.39;python.exe;13.37;discord.exe;14.48;chrome.exe;2209719125;discord.exe;1416668865;python.exe;539907916;8;43.15;8.64;1779982389;2026-05-26 20:33:09;Tuesday;684465
SteamData;Porto Alegre;DC-POA01;ZonaA;SRV-WEB-01;40.21;34359738368;18046304243;52.52;536870912000;365571418031;68.09;64.79;179302;350810;22;381;chrome.exe;37.57;python.exe;22.13;discord.exe;14.69;chrome.exe;2995032642;discord.exe;1793784790;python.exe;534193205;8;60.3;16.26;1779291189;2026-05-26 20:33:09;Tuesday;794990
SteamData;São Paulo;DC-SP01;ZonaB;SRV-API-01;40.81;34359738368;22017932198;64.08;536870912000;343927528042;64.06;13.52;255304;208535;25;228;chrome.exe;36.04;python.exe;18.57;discord.exe;4.93;chrome.exe;1661534039;discord.exe;821876675;python.exe;350919753;32;41.04;13.69;1779809589;2026-05-26 20:53:09;Tuesday;697553
SteamData;Rio de Janeiro;DC-RJ01;ZonaA;SRV-DB-01;74.11;34359738368;13526101657;39.37;536870912000;240805114055;44.85;59.26;297897;205110;22;344;chrome.exe;23.52;python.exe;12.33;discord.exe;2.19;chrome.exe;3689377059;discord.exe;1559878882;python.exe;714415245;32;52.91;13.71;1778945589;2026-05-26 20:53:09;Tuesday;563752
SteamData;Porto Alegre;DC-POA01;ZonaA;SRV-API-01;90.56;34359738368;17032286979;49.57;536870912000;379006752039;70.6;41.97;144933;300429;12;193;chrome.exe;10.13;python.exe;23.65;discord.exe;5.09;chrome.exe;3489739076;discord.exe;1029290136;python.exe;370137793;16;13.97;23.52;1778686389;2026-05-26 20:53:09;Tuesday;893096
SteamData;São Paulo;DC-SP01;ZonaB;SRV-WEB-01;68.76;34359738368;13413456707;39.04;536870912000;260739325955;48.57;99.36;70398;313221;16;366;chrome.exe;11.01;python.exe;8.6;discord.exe;8.0;chrome.exe;2807720372;discord.exe;1165840851;python.exe;501040068;8;56.38;23.0;1779636789;2026-05-26 21:13:09;Tuesday;666518
SteamData;Rio de Janeiro;DC-RJ01;ZonaA;SRV-WEB-01;38.01;34359738368;27341674750;79.57;536870912000;305357618221;56.88;32.43;116977;312192;15;152;chrome.exe;31.71;python.exe;7.18;discord.exe;5.39;chrome.exe;1047367232;discord.exe;1366807135;python.exe;728136008;16;50.75;10.92;1777995189;2026-05-26 21:13:09;Tuesday;694435
SteamData;Porto Alegre;DC-POA01;ZonaC;SRV-DB-01;44.13;34359738368;20249699158;58.93;536870912000;423247139751;78.84;56.8;169782;324932;30;158;chrome.exe;39.93;python.exe;11.65;discord.exe;5.32;chrome.exe;2714892338;discord.exe;1999573903;python.exe;709879880;16;10.71;9.33;1777822389;2026-05-26 21:13:09;Tuesday;761155
SteamData;São Paulo;DC-SP01;ZonaB;SRV-API-01;86.48;34359738368;21856071852;63.61;536870912000;267884306951;49.9;24.88;105183;271693;28;212;chrome.exe;39.41;python.exe;6.95;discord.exe;12.95;chrome.exe;1180343191;discord.exe;1493906542;python.exe;323503544;16;48.63;24.4;1779377589;2026-05-26 21:33:09;Tuesday;583426
SteamData;Rio de Janeiro;DC-RJ01;ZonaC;SRV-WEB-01;36.33;34359738368;23541040782;68.51;536870912000;353992515685;65.94;31.55;290165;80542;24;236;chrome.exe;22.19;python.exe;11.35;discord.exe;3.85;chrome.exe;1614018472;discord.exe;679970189;python.exe;792952975;16;61.47;21.31;1780155189;2026-05-26 21:33:09;Tuesday;678210
SteamData;Porto Alegre;DC-POA01;ZonaC;SRV-WEB-01;46.5;34359738368;26879352975;78.23;536870912000;307701558398;57.31;37.69;197252;74119;29;339;chrome.exe;36.97;python.exe;15.63;discord.exe;4.89;chrome.exe;2658879241;discord.exe;1011947730;python.exe;395234231;16;46.44;11.14;1779809589;2026-05-26 21:33:09;Tuesday;813820
SteamData;São Paulo;DC-SP01;ZonaA;SRV-DB-01;49.38;34359738368;24968103711;72.67;536870912000;212814938705;39.64;38.28;58927;173983;23;359;chrome.exe;15.49;python.exe;15.2;discord.exe;5.31;chrome.exe;2216503427;discord.exe;1776298735;python.exe;495629026;8;59.15;13.77;1778081589;2026-05-26 21:53:09;Tuesday;680655
SteamData;Rio de Janeiro;DC-RJ01;ZonaA;SRV-DB-01;82.07;34359738368;23329793106;67.9;536870912000;439963532023;81.95;71.7;247822;96606;6;301;chrome.exe;12.75;python.exe;10.0;discord.exe;14.48;chrome.exe;2502868831;discord.exe;1535148844;python.exe;989123491;16;36.72;29.74;1780155189;2026-05-26 21:53:09;Tuesday;802237
SteamData;Porto Alegre;DC-POA01;ZonaC;SRV-DB-01;39.88;34359738368;23105558456;67.25;536870912000;324170112828;60.38;98.01;89122;387050;29;174;chrome.exe;29.66;python.exe;18.28;discord.exe;6.78;chrome.exe;2864516692;discord.exe;782279627;python.exe;677848569;16;41.83;14.47;1778427189;2026-05-26 21:53:09;Tuesday;854237
SteamData;São Paulo;DC-SP01;ZonaC;SRV-WEB-01;44.11;34359738368;15292373149;44.51;536870912000;288062484328;53.66;30.84;102431;223346;30;260;chrome.exe;32.81;python.exe;15.79;discord.exe;2.35;chrome.exe;2486510753;discord.exe;1311508675;python.exe;413434097;8;11.85;10.74;1778427189;2026-05-26 22:13:09;Tuesday;826434
SteamData;Rio de Janeiro;DC-RJ01;ZonaC;SRV-DB-01;75.12;34359738368;19046136978;55.43;536870912000;342195342999;63.74;116.17;84489;110458;7;276;chrome.exe;21.5;python.exe;14.22;discord.exe;2.94;chrome.exe;2176072060;discord.exe;1481940985;python.exe;307630324;8;66.47;24.46;1778081589;2026-05-26 22:13:09;Tuesday;647109
SteamData;Porto Alegre;DC-POA01;ZonaA;SRV-API-01;80.72;34359738368;18587515066;54.1;536870912000;301564746282;56.17;68.54;115147;122905;2;219;chrome.exe;38.37;python.exe;14.7;discord.exe;5.68;chrome.exe;3770052661;discord.exe;1860142878;python.exe;765664642;32;31.76;9.71;1780155189;2026-05-26 22:13:09;Tuesday;579389
SteamData;São Paulo;DC-SP01;ZonaC;SRV-WEB-01;48.5;34359738368;12460027727;36.26;536870912000;232378513714;43.28;78.75;129616;261535;9;165;chrome.exe;30.45;python.exe;22.69;discord.exe;6.5;chrome.exe;1204833757;discord.exe;1138991389;python.exe;335141830;16;37.32;23.42;1778340789;2026-05-26 22:33:09;Tuesday;852669
SteamData;Rio de Janeiro;DC-RJ01;ZonaC;SRV-API-01;64.21;34359738368;20839983289;60.65;536870912000;286062466417;53.28;24.72;116585;222135;22;228;chrome.exe;14.92;python.exe;14.21;discord.exe;4.39;chrome.exe;2370813952;discord.exe;1170672866;python.exe;771247818;16;21.05;13.71;1777995189;2026-05-26 22:33:09;Tuesday;691561
SteamData;Porto Alegre;DC-POA01;ZonaC;SRV-API-01;33.17;34359738368;18908233180;55.03;536870912000;271965582010;50.66;55.19;172067;113697;22;264;chrome.exe;13.33;python.exe;6.38;discord.exe;12.84;chrome.exe;3948264667;discord.exe;1823738787;python.exe;608952308;16;58.48;11.2;1777908789;2026-05-26 22:33:09;Tuesday;638146
SteamData;São Paulo;DC-SP01;ZonaB;SRV-WEB-01;56.54;34359738368;22462985210;65.38;536870912000;282910407294;52.7;103.34;121768;141477;22;232;chrome.exe;23.41;python.exe;7.48;discord.exe;4.75;chrome.exe;3353477021;discord.exe;854157501;python.exe;385805957;16;64.99;19.8;1780241589;2026-05-26 22:53:09;Tuesday;516625
SteamData;Rio de Janeiro;DC-RJ01;ZonaC;SRV-WEB-01;51.65;34359738368;25667427251;74.7;536870912000;296243245604;55.18;56.14;200734;287515;4;331;chrome.exe;20.7;python.exe;9.74;discord.exe;14.84;chrome.exe;1791972497;discord.exe;989863608;python.exe;907843781;8;53.13;7.74;1778167989;2026-05-26 22:53:09;Tuesday;659006
SteamData;Porto Alegre;DC-POA01;ZonaC;SRV-WEB-01;59.83;34359738368;13029189663;37.92;536870912000;375838886330;70.01;61.2;219336;144197;16;289;chrome.exe;16.56;python.exe;8.49;discord.exe;14.78;chrome.exe;3820324311;discord.exe;1362990883;python.exe;819920880;16;39.09;5.16;1778081589;2026-05-26 22:53:09;Tuesday;890885
SteamData;São Paulo;DC-SP01;ZonaC;SRV-DB-01;41.68;34359738368;15204871072;44.25;536870912000;268371992513;49.99;16.83;181081;66661;25;390;chrome.exe;29.97;python.exe;18.17;discord.exe;8.49;chrome.exe;2528337116;discord.exe;1155769156;python.exe;349767371;16;33.39;13.96;1779895989;2026-05-26 23:13:09;Tuesday;886999
SteamData;Rio de Janeiro;DC-RJ01;ZonaA;SRV-WEB-01;34.63;34359738368;26059956001;75.84;536870912000;403979935517;75.25;69.91;98518;64525;20;249;chrome.exe;10.25;python.exe;13.32;discord.exe;7.78;chrome.exe;1486378110;discord.exe;688435526;python.exe;516642466;16;34.65;22.47;1778599989;2026-05-26 23:13:09;Tuesday;749885
SteamData;Porto Alegre;DC-POA01;ZonaB;SRV-DB-01;91.66;34359738368;20821580839;60.6;536870912000;369941923120;68.91;57.42;204107;389212;3;309;chrome.exe;35.99;python.exe;8.46;discord.exe;13.25;chrome.exe;1182561901;discord.exe;1034741447;python.exe;928336811;16;66.52;17.44;1777735989;2026-05-26 23:13:09;Tuesday;571994
SteamData;São Paulo;DC-SP01;ZonaA;SRV-API-01;34.96;34359738368;17063260782;49.66;536870912000;264119545524;49.2;17.51;59691;176896;21;202;chrome.exe;26.68;python.exe;8.58;discord.exe;13.22;chrome.exe;2662149153;discord.exe;946759542;python.exe;460432757;32;40.3;26.5;1779204789;2026-05-26 23:33:09;Tuesday;767733
